assigned gene	MIPS Description	p-value	p-value	p-value
YBR097W	ser/thr protein kinase	1.50E-01	4.70E-01	1.00E-02
YBR098W	putative transcriptional (co)activator for DNA damage	1.00E+00	1.00E+00	1.00E+00
YBR099C	weak similarity to T.brucei mitochondrion hypothetical protein 6	4.10E-01	1.00E+00	6.70E-01
YBR100W	questionable ORF	1.00E+00	1.00E+00	1.00E+00
YBR101C	weak similarity to S.pombe hypothetical protein SPBC3B9.01	2.30E-01	3.30E-01	3.00E-01
YBR102C	exocyst protein essential for secretion	5.20E-01	5.00E-01	1.00E+00
YBR103W	SIR4P interacting protein	5.20E-01	5.00E-01	1.00E+00
YBR104W	mitochondrial carrier protein (MCF)	6.20E-01	5.10E-01	6.80E-01
YBR105C	required for vacuolar import and degradation of FBP1P	4.70E-01	7.40E-01	2.20E-01
YBR106W	involved in phosphate transport	4.70E-01	7.40E-01	2.20E-01
YBR107C	weak similarity to N.crassa chitin synthase	6.70E-01	1.00E+00	6.90E-01
YBR108W	weak similarity to R.norvegicus atrophin-1 related protein	6.70E-01	1.00E+00	6.90E-01
YBR109C	calmodulin	4.20E-01	8.00E-01	2.90E-01
YBR110W	beta-mannosyltransferase	4.20E-01	8.00E-01	2.90E-01
YBR111C	sugar-nucleotide hydrolase	5.30E-01	8.80E-01	8.70E-01
YBR112C	general repressor of transcription	2.80E-01	1.10E-03	5.80E-01
YBR113W	questionable ORF	5.30E-01	8.80E-01	8.70E-01
YBR114W	nucleotide excision repair protein	2.80E-01	1.10E-03	5.80E-01
YBR115C	"L-aminoadipate-semialdehyde dehydrogenase, large subunit"	1.60E-01	3.10E-02	4.40E-01
YBR116C	questionable ORF	5.90E-01	7.10E-01	7.60E-01
YBR117C	transketolase 2	5.90E-01	7.10E-01	7.60E-01
YBR118W	"translation elongation factor eEF1 alpha-A chain, cytosolic"	5.90E-01	7.10E-01	7.60E-01
YBR119W	U1 snRNP-specific A protein	1.00E+00	3.50E-01	5.20E-01
YBR120C	apo-cytochrome B pre-mRNA processing protein	4.90E-02	4.10E-01	1.10E-01
YBR121C	glycine--tRNA ligase	8.20E-01	7.50E-01	9.50E-01
YBR122C	"ribosomal protein YmL36 precursor, mitochondrial"	1.30E-02	5.00E-01	2.90E-01
YBR123C	"TFIIIC (transcription initiation factor) subunit, 95 kD"	7.00E-01	6.50E-01	7.30E-01
YBR124W	questionable ORF	1.30E-02	5.00E-01	2.90E-01
YBR125C	serine/threonine protein phosphatases (PP2Cs)	6.30E-02	3.40E-01	3.80E-01
YBR126C	"alpha,alpha-trehalose-phosphate synthase, 56 KD subunit"	3.20E-01	5.10E-01	1.30E-01
YBR127C	"H+-ATPase V1 domain 60 KD subunit, vacuolar"	1.60E-01	6.70E-01	1.60E-01
YBR128C	required for autophagy	6.70E-01	4.70E-01	1.00E+00
YBR129C	pheromone resistant yeast 1	1.80E-01	6.40E-01	2.50E-01
YBR130C	required for mother cell-specific expression of HO	3.60E-01	5.50E-01	5.10E-01
YBR131W	Calcium Caffeine Zinc sensitivity	3.60E-01	5.50E-01	5.10E-01
YBR132C	amino-acid permease	7.40E-02	5.50E-01	3.90E-01
YBR133C	adapter in a regulatory pathway that relieves tyrosine phosphorylation of CDC28	3.90E-01	5.10E-01	4.40E-01
YBR134W	questionable ORF	7.40E-02	5.50E-01	3.90E-01
YBR135W	cyclin-dependent kinases regulatory subunit	3.90E-01	5.10E-01	4.40E-01
YBR136W	cell cycle checkpoint protein	7.90E-01	5.70E-01	3.70E-01
YBR137W	similarity to hypothetical protein Streptomyces coelicolor	4.10E-01	6.50E-01	1.30E-01
YBR138C	High-Dosage Reductional segregation defective	2.00E-01	5.20E-01	3.40E-01
YBR139W	strong similarity to carboxypeptidase	2.00E-01	5.20E-01	3.40E-01
YBR140C	inhibitory regulator protein of the ras-cyclic AMP pathway	5.30E-02	5.90E-01	3.40E-01
YBR141C	similarity to hypothetical protein S. pombe	7.80E-01	6.80E-01	1.00E+00
YBR142W	ATP-dependent RNA helicase	7.80E-01	6.80E-01	1.00E+00
YBR143C	translational release factor	6.30E-01	6.50E-01	2.90E-01
YBR144C	hypothetical protein	1.30E-01	4.30E-01	4.30E-01
YBR145W	alcohol dehydrogenase V	1.30E-01	4.30E-01	4.30E-01
YBR146W	"ribosomal protein S9 precursor, mitochondrial"	8.50E-01	7.60E-01	8.50E-01
YBR147W	strong similarity to hypothetical protein YOL092w	3.50E-01	8.20E-01	6.40E-01
YBR148W	spore-specific protein	8.70E-01	5.90E-01	3.50E-01
YBR149W	"D-arabinose dehydrogenase, large subunit"	8.00E-02	3.90E-01	4.70E-01
YBR150C	weak similarity to transcription factors	2.30E-01	1.10E-01	5.00E-01
YBR151W	weak similarity to potato sucrose cleavage protein	2.30E-01	1.10E-01	5.00E-01
YBR152W	Suppressor of Pre-mRNA Processing mutant	3.50E-01	6.70E-01	1.20E-01
YBR153W	HTP reductase	2.10E-02	4.80E-01	2.60E-01
YBR154C	"DNA-directed RNA polymerase I, II, III 25 KD subunit"	5.90E-01	2.70E-01	3.30E-01
YBR155W	weak similarity to stress-induced STI1P	5.90E-01	2.70E-01	3.30E-01
YBR156C	Mitotic spindle protein involved in chromosome segregation	3.40E-01	8.30E-01	1.80E-01
YBR157C	hypothetical protein	1.10E-03	2.40E-01	1.00E-03
YBR158W	weak similarity to TRCDSEMBL:AF176518_1 F-box protein FBL2; human	3.80E-10	2.70E-02	1.50E-09
YBR159W	similarity to human 17-beta-hydroxysteroid dehydrogenase	3.10E-03	8.70E-01	2.60E-02
YBR160W	cyclin-dependent protein kinase	2.40E-02	1.00E+00	1.80E-01
YBR161W	strong similarity to SUR1P	4.30E-01	5.50E-03	4.20E-01
YBR162C	similarity to hypothetical protein YJL171c	5.00E-02	4.70E-07	4.90E-01
YBR162W-A	secretory pathway protein	5.00E-02	4.70E-07	4.90E-01
YBR163W	weak similarity to PTA1P (pre-tRNA processing protein)	3.30E-01	3.40E-02	2.60E-01
YBR164C	ADP-ribosylation factor	3.40E-01	2.00E-01	4.60E-01
YBR165W	positive regulator of CDC34P	3.40E-01	2.00E-01	4.60E-01
YBR166C	prephenate dehydrogenase (NADP+)	3.60E-01	3.50E-01	4.80E-01
YBR167C	nuclear RNase P subunit	1.50E-02	7.50E-01	1.50E-01
YBR168W	weak similarity to hypothetical protein YLR324w	1.50E-02	7.50E-01	1.50E-01
YBR169C	heat shock protein of the HSP70 family	5.30E-01	6.60E-01	5.30E-01
YBR170C	nuclear protein localization factor and ER translocation component	3.50E-01	4.10E-01	7.40E-01
YBR171W	ER protein-translocation complex subunit	3.50E-01	4.10E-01	7.40E-01
YBR172C	kinesin-related protein	4.30E-01	6.10E-01	7.50E-01
YBR173C	proteasome maturation factor	4.10E-01	1.00E+00	5.20E-01
YBR174C	questionable ORF	2.30E-01	3.80E-01	5.10E-01
YBR175W	similarity to S.pombe beta-transducin	4.10E-01	1.00E+00	5.20E-01
YBR176W	involved in cell wall biogenesis and architecture	2.30E-01	3.80E-01	5.10E-01
YBR177C	alcohol acyl transferase	2.50E-01	4.30E-01	5.30E-01
YBR178W	questionable ORF	6.00E-01	1.00E+00	7.50E-01
YBR179C	required for biogenesis of mitochondria	5.50E-01	5.70E-01	9.20E-01
YBR180W	dityrosine transporter	5.50E-01	5.70E-01	9.20E-01
YBR181C	ribosomal protein S6.e	5.20E-01	5.80E-01	6.70E-01
YBR182C	MADS-box transcription factor	6.40E-01	4.80E-01	8.40E-01
YBR183W	Alkaline Ceramidase	6.40E-01	4.80E-01	8.40E-01
YBR184W	hypothetical protein	4.00E-01	1.00E+00	1.00E+00
YBR185C	respiratory chain assembly protein	4.90E-01	4.10E-01	3.10E-01
YBR186W	putative ATPase	4.90E-01	4.10E-01	3.10E-01
YBR187W	similarity to mouse putative transmembrane protein FT27	8.50E-01	6.20E-02	7.00E-01
YBR188C	splicing factor	5.10E-01	6.00E-01	8.30E-02
YBR189W	ribosomal protein S9.e.B	5.10E-01	6.00E-01	8.30E-02
YBR190W	questionable ORF	3.70E-01	2.70E-01	6.40E-02
YBR191W	ribosomal protein L21.e	3.70E-01	2.70E-01	6.40E-02
YBR192W	mitochondrial carrier protein (MCF)	7.00E-01	5.90E-01	2.50E-01
YBR193C	transcriptional regulation mediator	8.10E-01	6.60E-01	3.10E-01
YBR194W	hypothetical protein	8.10E-01	6.60E-01	3.10E-01
YBR195C	"chromatin assembly complex, subunit p50"	9.60E-01	2.60E-01	7.30E-01
YBR196C	glucose-6-phosphate isomerase	5.90E-01	2.60E-01	5.20E-01
YBR197C	weak similarity to hypothetical protein YPL077c	6.00E-01	4.80E-01	7.60E-01
YBR198C	TFIID and SAGA subunit	7.40E-01	7.60E-01	5.10E-01
YBR199W	"alpha-1,2-mannosyltransferase"	7.40E-01	7.60E-01	5.10E-01
YBR200W	bud emergence mediator	4.70E-01	2.70E-01	5.00E-01
YBR201W	involved in degradation proteins in the ER	5.70E-01	7.60E-01	6.70E-01
YBR202W	cell division control protein	2.00E-01	2.10E-01	1.00E+00
YBR203W	hypothetical protein	3.60E-01	4.20E-01	2.40E-01
YBR204C	weak similarity to peroxisomal serine-active lipase	2.70E-01	1.00E+00	1.00E+00
YBR205W	"alpha-1,2-mannosyltransferase"	2.70E-01	1.00E+00	1.00E+00
YBR206W	questionable ORF	2.70E-01	1.00E+00	1.00E+00
YBR207W	similarity to Iron permease FTR1P (YER145c)	3.00E-01	7.80E-01	3.50E-01
YBR208C	"2,urea amidolyase"	5.20E-01	6.90E-01	1.00E+00
YBR209W	hypothetical protein	5.20E-01	6.90E-01	1.00E+00
YBR210W	strong similarity to D.melanogaster cornichon protein	9.10E-01	5.30E-01	7.90E-01
YBR211C	actin related protein	3.90E-01	9.10E-01	6.50E-01
YBR212W	glucose-repressible RNA-binding protein	3.90E-01	9.10E-01	6.50E-01
YBR213W	siroheme synthase	5.30E-01	5.90E-01	8.20E-01
YBR214W	strong similarity to hypothetical protein YGL056c	3.20E-01	5.80E-01	7.40E-01
YBR215W	cell cycle regulatory protein	7.10E-01	4.70E-01	7.00E-01
YBR216C	strong similarity to hypothetical protein YGL060w	2.30E-01	8.10E-01	6.80E-01
YBR217W	component of the autophagic system	2.30E-01	8.10E-01	6.80E-01
YBR218C	pyruvate carboxylase 2	5.70E-01	6.20E-01	5.80E-01
YBR219C		1.70E-01	5.70E-01	9.60E-01
YBR220C	similarity to human acetyl-coenzyme A transporter	1.70E-01	5.70E-01	9.60E-01
YBR221C	pyruvate dehydrogenase (lipoamide) beta chain precursor	7.10E-01	9.80E-01	9.70E-01
YBR222C	"AMP-binding protein, peroxisomal"	5.30E-01	5.10E-01	7.40E-01
YBR223C	hypothetical protein	6.90E-01	8.00E-01	8.10E-01
YBR224W	questionable ORF	5.30E-01	5.10E-01	7.40E-01
YBR225W	hypothetical protein	5.30E-01	5.10E-01	7.40E-01
YBR226C	questionable ORF	6.90E-01	8.00E-01	8.10E-01
YBR227C	similarity to E.coli ATP-binding protein clpX	6.90E-01	8.00E-01	8.10E-01
YBR228W	similarity to hypothetical A.thaliana protein	6.90E-01	8.00E-01	8.10E-01
YBR229C	"glucosidase II, catalytic subunit"	7.70E-04	7.70E-02	3.50E-01
YBR230C	hypothetical protein	3.70E-03	6.60E-02	3.90E-02
YBR231C	similarity to human BCNT protein NP_006315.1	2.50E-01	2.60E-01	2.80E-01
YBR232C	questionable ORF	8.70E-01	9.30E-01	6.50E-01
YBR233W	PAB1 binding protein	2.50E-01	2.60E-01	2.80E-01
YBR234C	"ARP2/3 protein complex subunit, 40 kilodalton"	3.80E-01	3.50E-01	1.60E-01
YBR235W	similarity to bumetanide-sensitive Na-K-Cl cotransport protein	3.80E-01	3.50E-01	1.60E-01
YBR236C	mRNA cap methyltransferase	6.10E-01	3.00E-01	4.00E-01
YBR237W	pre-mRNA processing RNA-helicase	6.10E-01	3.00E-01	4.00E-01
YBR238C	strong similarity to general chromatin factor SPT16P	7.40E-01	4.60E-01	6.00E-01
YBR239C	weak similarity to transcription factor PUT3P	9.60E-01	7.20E-01	6.90E-01
YBR240C	regulator of the thiamine biosynthetic genes	4.30E-01	5.30E-01	5.20E-01
YBR241C	similarity to glucose transport proteins	7.90E-01	7.10E-01	8.20E-01
YBR242W	strong similarity to hypothetical protein YGL101w	7.90E-01	7.10E-01	8.20E-01
YBR243C	UDP-N-acetylglucosamine-1-phosphate transferase	7.70E-01	5.30E-01	6.70E-01
YBR244W	glutathione peroxidases	7.70E-01	5.30E-01	6.70E-01
YBR245C	strong similarity to D.melanogaster iswi protein	9.20E-01	5.80E-01	6.00E-01
YBR246W	"similarity to TREMBL:SPCC18_15 hypothetical protein,,S. pombe"	8.50E-01	4.40E-01	3.60E-01
YBR247C	effects N-glycosylation	6.70E-01	4.70E-01	4.70E-01
YBR248C	glutamine amidotransferase/cyclase	9.60E-01	7.60E-01	6.40E-01
YBR249C	"2-dehydro-3-deoxyphosphoheptonate aldolase, tyrosine-inhibited"	8.60E-01	8.70E-01	5.30E-01
YBR250W	weak similarity to hypothetical protein S. pombe	8.60E-01	8.70E-01	5.30E-01
YBR251W	"ribosomal protein S5, mitochondrial"	6.90E-01	8.40E-01	3.50E-01
YBR252W	dUTP pyrophosphatase precursor	2.20E-01	1.00E+00	6.40E-01
YBR253W	DNA-directed RNA polymerase II suppressor protein	2.50E-01	6.30E-01	5.10E-01
YBR254C	TRAPP subunit of 20 kDa involved in targeting and fusion of ER to golgi transport vesicles	1.10E-01	5.10E-01	1.00E+00
YBR255W	hypothetical protein	1.10E-01	5.10E-01	1.00E+00
YBR256C	"riboflavin synthase, alpha chain"	2.30E-01	3.80E-01	2.60E-01
YBR257W	involved in processing of tRNAs and rRNAs	2.30E-01	3.80E-01	2.60E-01
YBR258C	hypothetical protein	3.20E-01	1.00E+00	1.00E+00
YBR259W	"weak similarity to 'BH1924', sugar transport system; Bacillus halodurans"	3.20E-01	1.00E+00	1.00E+00
YBR260C	similarity to C.elegans GTPase-activating protein	7.10E-01	8.00E-01	1.00E+00
YBR261C	similarity to hypothetical S. pombe protein	6.30E-01	8.30E-01	5.90E-01
YBR262C	questionable ORF	1.00E+00	1.00E+00	5.90E-01
YBR263W	"serine hydroxymethyltransferase precursor, mitochondrial"	6.30E-01	8.30E-01	5.90E-01
YBR264C	similarity to GTP-binding proteins	1.00E+00	1.00E+00	5.90E-01
YBR265W	3-ketosphinganine reductase	1.00E+00	1.00E+00	5.90E-01
YBR266C	questionable ORF	2.40E-01	4.90E-01	4.60E-01
YBR267W	similarity to hypothetical protein YLR387c	7.70E-01	3.90E-01	9.20E-01
YBR268W	"ribosomal protein YmL37, mitochondrial"	2.40E-01	4.90E-01	4.60E-01
YBR269C	"weak similarity to 'cpa', phospholipase C, Clostridium perfringens"	2.50E-01	3.60E-01	5.00E-01
YBR270C	strong similarity to hypothetical protein YJL058c	2.60E-01	6.30E-01	2.00E-01
YBR271W	weak similarity to S.pombe uvi22 protein and hypothetical protein YNL024c	2.60E-01	6.30E-01	2.00E-01
YBR272C	mismatch repair protein	6.10E-01	7.60E-01	6.30E-01
YBR273C	similarity to hypothetical protein YJL048c	6.50E-02	5.50E-01	2.10E-01
YBR274W	regulats inhibitory Cdk phosphorylation of PDS1	6.50E-02	5.50E-01	2.10E-01
YBR275C	RAP1-interacting factor 1	1.30E-01	1.70E-01	7.50E-01
YBR276C	protein tyrosine phosphatase	1.90E-01	1.00E+00	8.10E-01
YBR277C	questionable ORF	1.50E-01	4.40E-01	8.10E-01
YBR278W	"DNA-directed DNA polymerase epsilon, subunit C"	1.90E-01	1.00E+00	8.10E-01
YBR279W	DNA-directed RNA polymerase II regulator	1.50E-01	4.40E-01	8.10E-01
YBR280C	similarity to hypothetical protein S. pombe	7.30E-02	4.90E-01	4.80E-01
YBR281C	similarity to hypothetical protein YFR044c	5.00E-01	4.10E-01	5.00E-01
YBR282W	"ribosomal protein YmL27 precursor, mitochondrial"	5.00E-01	4.10E-01	5.00E-01
YBR283C	involved in co-translational pathway of protein transport	3.90E-01	8.10E-01	7.90E-02
YBR284W	similarity to AMP deaminase	3.90E-01	8.10E-01	7.90E-02
YBR285W	"weak similarity to RecQ5, D. melanogaster"	6.80E-03	5.80E-01	1.40E-01
YBR286W	vacuolar aminopeptidase Y	5.60E-01	5.80E-01	4.00E-01
YBR287W	similarity to hypothetical S. pombe protein	2.50E-01	2.70E-01	3.40E-01
YBR288C	"AP-3 complex subunit, mu3 subunit, 55 KD"	3.90E-02	2.00E-01	2.20E-01
YBR289W	component of SWI/SNF transcription activator complex	3.90E-02	2.00E-01	2.20E-01
YBR290W	metal homeostasis protein	4.60E-01	6.10E-01	6.50E-01
YBR291C	"citrate transport protein, mitochondrial (MCF)"	7.30E-01	5.30E-01	5.40E-01
YBR292C	hypothetical protein	2.30E-01	8.30E-01	4.80E-01
YBR293W	similarity to multidrug resistance proteins	6.30E-01	7.60E-01	6.50E-01
YBR294W	high-affinity sulfate transport protein	5.50E-01	8.50E-01	5.60E-01
YBR295W	P-type Cu2+-transporting ATPase	9.30E-01	8.40E-01	9.60E-01
YBR296C	"Na+-coupled phosphate transport protein, high affinity"	9.10E-01	3.80E-01	9.50E-01
YBR297W	maltose fermentation regulatory protein	6.30E-01	6.40E-01	2.30E-01
YBR298C	maltose permease	1.70E-01	3.50E-02	1.70E-01
YBR299W	alpha-glucosidase	1.70E-01	3.50E-02	1.70E-01
YBR300C	strong similarity to hypothetical protein YGR293c	5.00E-01	8.10E-02	4.20E-01
YBR301W	cell wall mannoprotein	7.80E-01	8.10E-01	5.30E-01
YCL001W	required for correct localization of SEC12P	4.10E-01	5.20E-01	3.10E-01
YCL001W-A	similarity to DOM34P	4.10E-01	5.20E-01	3.10E-01
YCL002C	strong similarity to Saccharomyces pastorianus hypothetical protein LgYCL002c	7.30E-01	6.30E-01	4.80E-01
YCL004W	phosphatidylglycerophosphate synthase	4.10E-01	5.20E-01	3.10E-01
YCL005W	strong similarity to Saccharomyces pastorianus hypothetical protein LgYCL005w	4.10E-01	5.20E-01	3.10E-01
YCL006C		7.30E-01	6.30E-01	4.80E-01
YCL007C	affects the mannoprotein layer of the cell wall	7.30E-01	6.30E-01	4.80E-01
YCL008C	"required for vacuolar targeting of temperature-sensitive plasma membrane proteins, STE2P and CAN1P"	7.30E-01	6.30E-01	4.80E-01
YCL009C	"acetolactate synthase, regulatory subunit"	7.30E-01	6.30E-01	4.80E-01
YCL010C	strong similarity to Saccharomyces pastorianus hypothetical protein LgYCL010c	7.30E-01	6.30E-01	4.80E-01
YCL011C	potential telomere-associated protein	4.10E-01	5.20E-01	3.10E-01
YCL012W		7.80E-01	4.40E-01	5.70E-01
YCL014W	budding protein	7.80E-01	4.40E-01	5.70E-01
YCL016C	part of an alternative RFC complex	4.10E-01	5.20E-01	3.10E-01
YCL017C	"regulates Iron-Sulfur cluster proteins, cellular Iron uptake, andIron distribution"	4.10E-01	5.20E-01	3.10E-01
YCL018W	beta-isopropyl-malate dehydrogenase	7.80E-01	4.40E-01	5.70E-01
YCL019W		1.40E-01	2.80E-01	3.50E-01
YCL020W		1.40E-01	2.80E-01	3.50E-01
YCL022C		1.40E-01	2.80E-01	3.50E-01
YCL023C	questionable ORF	1.40E-01	2.80E-01	3.50E-01
YCL024W	kinase coordinate cell cycle progression with the organization of the peripheralcytoskeleton	6.50E-01	9.60E-02	9.50E-01
YCL025C	asparagine and glutamine permease	6.50E-01	9.60E-02	9.50E-01
YCL026C-A	involved in fatty acid regulation	3.20E-01	9.20E-01	2.80E-01
YCL027W	cell fusion protein	5.90E-01	5.80E-01	6.40E-01
YCL028W	"prion, epigenetic modifier of protein function"	1.60E-01	8.00E-01	2.10E-01
YCL029C	nuclear fusion protein	1.60E-01	8.00E-01	2.10E-01
YCL030C	phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase/histidinol dehydrogenase	1.10E-01	6.90E-01	7.10E-01
YCL031C	involved in pre-rRNA processing and ribosome assembly	8.10E-01	8.10E-01	8.40E-01
YCL032W	pheromone response pathway protein	2.90E-01	5.40E-01	5.40E-01
YCL033C	similarity to M.capricolum transcription repressor	2.90E-01	5.40E-01	5.40E-01
YCL034W	similarity to hypothetical S.pombe protein	1.50E-01	4.60E-01	3.60E-01
YCL035C	glutaredoxin	1.50E-01	4.60E-01	3.60E-01
YCL036W	similarity to hypothetical protein YDR514c	8.20E-02	6.80E-01	1.70E-01
YCL037C	La motif-containing proteins that modulate mRNA translation	8.20E-02	6.80E-01	1.70E-01
YCL038C	similarity to bacterial membrane transporter	8.50E-01	6.90E-01	8.30E-01
YCL039W	similarity to TUP1P general repressor of RNA polymerase II transcription	7.80E-02	6.20E-01	3.20E-01
YCL040W	aldohexose specific glucokinase	8.30E-01	6.60E-01	4.70E-01
YCL041C	questionable ORF	7.80E-02	6.20E-01	3.20E-01
YCL042W	questionable ORF	8.30E-01	6.60E-01	4.70E-01
YCL043C	protein disulfide-isomerase precursor	7.80E-02	6.20E-01	3.20E-01
YCL044C	similarity to hypothetical protein K. lactis	8.30E-01	6.60E-01	4.70E-01
YCL045C	weak similarity to human ORF	5.60E-02	2.90E-01	2.40E-01
YCL046W	questionable ORF	7.00E-01	1.00E+00	6.20E-01
YCL047C	similarity to hypothetical protein SPAC694.03 S. pombe	7.00E-01	1.00E+00	6.20E-01
YCL048W	strong similarity to sporulation-specific protein SPS2P	5.10E-01	8.80E-01	5.00E-01
YCL049C	similarity to 'unknown protein'; S. pastorianus	5.10E-01	8.80E-01	5.00E-01
YCL050C	ATP adenylyltransferase I	3.90E-01	7.90E-01	9.40E-01
YCL051W	involved in laminarinase resistance	6.60E-02	5.20E-01	2.60E-01
YCL052C	required for post-translational processing of the protease B precursor PRB1P	6.60E-02	5.20E-01	2.60E-01
YCL054W	"required for ribosome synthesis, putative methylase"	3.50E-02	1.50E-02	4.20E-01
YCL055W	regulatory protein required for pheromone induction of karyogamy genes	1.50E-01	4.30E-01	4.60E-01
YCL056C	hypothetical protein	1.50E-01	4.30E-01	4.60E-01
YCL057W	proteinase yscD	4.30E-01	6.10E-01	7.40E-01
YCL058C	hypothetical protein	4.30E-01	6.10E-01	7.40E-01
YCL059C	strong similarity to fission yeast rev interacting protein mis3	3.40E-02	2.50E-01	4.50E-01
YCL061C	similarity to URK1	1.70E-01	2.70E-01	6.40E-01
YCL063W	weak similarity to yeast translation regulator GCD6P	4.00E-01	6.50E-02	8.30E-01
YCL064C	L-serine/L-threonine deaminase	4.00E-01	6.50E-02	8.30E-01
YCL065W	strong similarity to probable membrane protein YCR041w	5.80E-01	1.00E+00	3.60E-01
YCL066W	"mating type regulatory protein, silenced copy at HML"	5.80E-01	1.00E+00	3.60E-01
YCL067C	"mating type regulatory protein, silenced copy at HML"	5.80E-01	1.00E+00	3.60E-01
YCL068C	strong similarity to BUD5P; putative pseudogene	8.60E-01	8.10E-01	5.60E-01
YCL069W	strong similarity to drug resistance protein SGE1	1.20E-01	6.50E-01	6.40E-02
YCL073C	strong similarity to subtelomeric encoded proteins	1.20E-01	6.50E-01	6.40E-02
YCL074W	hypothetical protein - putative pseudo-TY5	1.20E-01	6.40E-01	5.80E-01
YCR001W	weak similarity to chloride channel proteins	4.10E-01	5.20E-01	3.10E-01
YCR002C	cell division control protein	7.30E-01	6.30E-01	4.80E-01
YCR003W	"ribosomal protein YmL32, mitochondrial"	4.10E-01	5.20E-01	3.10E-01
YCR004C	strong similarity to S. pombe protein obr1	7.30E-01	6.30E-01	4.80E-01
YCR005C	"citrate (si)-synthase, peroxisomal"	7.30E-01	6.30E-01	4.80E-01
YCR006C	hypothetical protein	7.30E-01	6.30E-01	4.80E-01
YCR007C	strong similarity to subtelomeric encoded proteins	2.10E-01	9.40E-01	3.80E-01
YCR008W	serine/threonine-specific protein kinase	7.30E-01	6.30E-01	4.80E-01
YCR009C	similarity to human amphiphysin and RVS167P	2.10E-01	9.40E-01	3.80E-01
YCR010C	strong similarity to Y.lipolytica GPR1 protein and FUN34P	2.10E-01	9.40E-01	3.80E-01
YCR011C	ATP-dependent permease	2.10E-01	9.40E-01	3.80E-01
YCR012W	phosphoglycerate kinase	7.30E-01	6.30E-01	4.80E-01
YCR013C	similarity to M.leprae B1496_F1_41 protein	2.10E-01	9.40E-01	3.80E-01
YCR014C	DNA polymerase	2.10E-01	9.40E-01	3.80E-01
YCR015C	hypothetical protein	2.10E-01	9.40E-01	3.80E-01
